file,label,source,speaker,generator,language,group
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_092.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::269 - UNHINGED CAILLOU Sora Compilation 2
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/169 - AI Has FINALLY LOST CONTROL 💀 (Sora 2 Moments Gone Way Too Far)_069.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::169 - AI Has FINALLY LOST CONTROL 💀 (Sora 2 Moments Gone Way Too Far)
audio/ai/garystafford/hg_0003_part_003.flac,1,GaryStafford,,Kokoro,en,GaryStafford::ai::Kokoro::0003
audio/human/LJSpeech/LJ045-0025.wav,0,LJSpeech,LJ,,en,LJSpeech::lj045-0025
audio/human/LJSpeech/LJ015-0165.wav,0,LJSpeech,LJ,,en,LJSpeech::lj015-0165
audio/human/LJSpeech/LJ015-0187.wav,0,LJSpeech,LJ,,en,LJSpeech::lj015-0187
audio/human/LJSpeech/LJ018-0072.wav,0,LJSpeech,LJ,,en,LJSpeech::lj018-0072
audio/human/CREMA-D/1062_TAI_FEA_XX.wav,0,CREMA-D,1062,,en,CREMA-D::actor::1062
"audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/088 - Sora's AI-Generated SpongeBob Part 2! The Style Change is INSANE, My Childhood is Ruined!_048.wav",1,YouTube-AI,,unknown,unknown,"YouTube-AI::088 - Sora's AI-Generated SpongeBob Part 2! The Style Change is INSANE, My Childhood is Ruined!"
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/285 - Collabs Movie Studios & Streaming Platforms🥣 Made Cereals_029.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::285 - Collabs Movie Studios & Streaming Platforms🥣 Made Cereals
audio/human/LJSpeech/LJ025-0132.wav,0,LJSpeech,LJ,,en,LJSpeech::lj025-0132
"audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/069 - Sora 2 - Family Guy, South Park, Spongebob, Donald Trump, and more! ｜ Al Cartoon Compilation #4_061.wav",1,YouTube-AI,,unknown,unknown,"YouTube-AI::069 - Sora 2 - Family Guy, South Park, Spongebob, Donald Trump, and more! ｜ Al Cartoon Compilation #4"
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/179 - 🍔When Movie Studios Opened BURGER KING Theaters_000.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::179 - 🍔When Movie Studios Opened BURGER KING Theaters
audio/human/CREMA-D/1047_DFA_SAD_XX.wav,0,CREMA-D,1047,,en,CREMA-D::actor::1047
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1_098.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1
audio/human/LJSpeech/LJ031-0069.wav,0,LJSpeech,LJ,,en,LJSpeech::lj031-0069
audio/human/LJSpeech/LJ022-0132.wav,0,LJSpeech,LJ,,en,LJSpeech::lj022-0132
audio/human/garystafford/yt_0013_p2_part_112.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0013_p2
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)_048.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)
audio/human/CREMA-D/1074_IOM_NEU_XX.wav,0,CREMA-D,1074,,en,CREMA-D::actor::1074
audio/human/CREMA-D/1052_IEO_FEA_LO.wav,0,CREMA-D,1052,,en,CREMA-D::actor::1052
audio/human/garystafford/yt_0009_part_270.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0009
audio/human/CREMA-D/1031_IWW_ANG_XX.wav,0,CREMA-D,1031,,en,CREMA-D::actor::1031
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_010.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::173 - BEST SORA 2 AI MEMES EPISODE 10
audio/human/LJSpeech/LJ017-0137.wav,0,LJSpeech,LJ,,en,LJSpeech::lj017-0137
audio/human/LJSpeech/LJ027-0150.wav,0,LJSpeech,LJ,,en,LJSpeech::lj027-0150
audio/human/CREMA-D/1038_ITH_NEU_XX.wav,0,CREMA-D,1038,,en,CREMA-D::actor::1038
audio/human/LJSpeech/LJ032-0137.wav,0,LJSpeech,LJ,,en,LJSpeech::lj032-0137
audio/human/LJSpeech/LJ045-0133.wav,0,LJSpeech,LJ,,en,LJSpeech::lj045-0133
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/236 - Sora 2 Lost Episode In 10 Minutes Not Made For Kids_140.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::236 - Sora 2 Lost Episode In 10 Minutes Not Made For Kids
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/264 - When Animated TV Channels Invade Theaters_013.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::264 - When Animated TV Channels Invade Theaters
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/030 - BEST SORA 2 AI MEMES EPISODE 5_095.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::030 - BEST SORA 2 AI MEMES EPISODE 5
audio/human/CREMA-D/1006_WSI_NEU_XX.wav,0,CREMA-D,1006,,en,CREMA-D::actor::1006
audio/human/CREMA-D/1024_TAI_HAP_XX.wav,0,CREMA-D,1024,,en,CREMA-D::actor::1024
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)_285.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)
audio/human/LJSpeech/LJ016-0416.wav,0,LJSpeech,LJ,,en,LJSpeech::lj016-0416
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_158.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::173 - BEST SORA 2 AI MEMES EPISODE 10
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)_157.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::190 - Sora 2 lost episode compilation (FIXED+BONUS VIDEO)
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/040 - BEST SORA 2 AI MEMES EPISODE 6_535.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::040 - BEST SORA 2 AI MEMES EPISODE 6
audio/human/LJSpeech/LJ018-0062.wav,0,LJSpeech,LJ,,en,LJSpeech::lj018-0062
audio/human/vishesh/ep1_169.wav,0,unknown,,,unknown,unknown::human::ep1_169
audio/human/CREMA-D/1079_MTI_HAP_XX.wav,0,CREMA-D,1079,,en,CREMA-D::actor::1079
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/137 - Gumball out of context ( but it's A.I )_032.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::137 - Gumball out of context ( but it's A.I )
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/204 - Ultimate THX & Movie Studio Intro Compilation_039.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::204 - Ultimate THX & Movie Studio Intro Compilation
audio/human/CREMA-D/1018_DFA_ANG_XX.wav,0,CREMA-D,1018,,en,CREMA-D::actor::1018
audio/ai/garystafford/po_0029_part_008.flac,1,GaryStafford,,Amazon Polly,en,GaryStafford::ai::Amazon Polly::0029
audio/ai/silence/silence_001 (copy 92).wav,1,unknown,,unknown,unknown,unknown::ai::silence_001 (copy 92)
audio/human/LJSpeech/LJ045-0070.wav,0,LJSpeech,LJ,,en,LJSpeech::lj045-0070
audio/human/LJSpeech/LJ031-0033.wav,0,LJSpeech,LJ,,en,LJSpeech::lj031-0033
audio/human/LJSpeech/LJ017-0155.wav,0,LJSpeech,LJ,,en,LJSpeech::lj017-0155
audio/human/beastboy/Backbone of the Gaming Community？_020.wav,0,unknown,,,unknown,unknown::human::backbone of the gaming community？_020
audio/human/LJSpeech/LJ047-0115.wav,0,LJSpeech,LJ,,en,LJSpeech::lj047-0115
audio/human/LJSpeech/LJ019-0250.wav,0,LJSpeech,LJ,,en,LJSpeech::lj019-0250
audio/human/LJSpeech/LJ018-0029.wav,0,LJSpeech,LJ,,en,LJSpeech::lj018-0029
audio/human/CREMA-D/1053_IEO_HAP_LO.wav,0,CREMA-D,1053,,en,CREMA-D::actor::1053
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/091 - LEGO Adventures Inside Movie Studios_015.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::091 - LEGO Adventures Inside Movie Studios
audio/human/rekrap/Day in the Life of A Minecraft YouTuber_069.wav,0,unknown,,,unknown,unknown::human::day in the life of a minecraft youtuber_069
audio/human/CREMA-D/1018_TSI_NEU_XX.wav,0,CREMA-D,1018,,en,CREMA-D::actor::1018
audio/human/LJSpeech/LJ041-0053.wav,0,LJSpeech,LJ,,en,LJSpeech::lj041-0053
audio/human/LJSpeech/LJ038-0009.wav,0,LJSpeech,LJ,,en,LJSpeech::lj038-0009
audio/human/CREMA-D/1066_TIE_SAD_XX.wav,0,CREMA-D,1066,,en,CREMA-D::actor::1066
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/038 - What if Squidward's New Neighbor was Gumball？ A Nightmare Worse Than SpongeBob._165.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::038 - What if Squidward's New Neighbor was Gumball？ A Nightmare Worse Than SpongeBob.
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/040 - BEST SORA 2 AI MEMES EPISODE 6_287.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::040 - BEST SORA 2 AI MEMES EPISODE 6
audio/human/LJSpeech/LJ044-0048.wav,0,LJSpeech,LJ,,en,LJSpeech::lj044-0048
audio/human/CREMA-D/1023_IOM_DIS_XX.wav,0,CREMA-D,1023,,en,CREMA-D::actor::1023
audio/human/LJSpeech/LJ047-0188.wav,0,LJSpeech,LJ,,en,LJSpeech::lj047-0188
audio/human/garystafford/yt_0010_part_052.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0010
audio/human/CREMA-D/1079_ITS_HAP_XX.wav,0,CREMA-D,1079,,en,CREMA-D::actor::1079
audio/ai/garystafford/hu_0009_part_007.flac,1,GaryStafford,,Hume AI,en,GaryStafford::ai::Hume AI::0009
audio/human/LJSpeech/LJ029-0123.wav,0,LJSpeech,LJ,,en,LJSpeech::lj029-0123
audio/human/CREMA-D/1089_TAI_SAD_XX.wav,0,CREMA-D,1089,,en,CREMA-D::actor::1089
audio/human/CREMA-D/1017_IOM_NEU_XX.wav,0,CREMA-D,1017,,en,CREMA-D::actor::1017
audio/human/CREMA-D/1089_IEO_NEU_XX.wav,0,CREMA-D,1089,,en,CREMA-D::actor::1089
audio/human/LJSpeech/LJ013-0132.wav,0,LJSpeech,LJ,,en,LJSpeech::lj013-0132
audio/human/CREMA-D/1045_ITS_NEU_XX.wav,0,CREMA-D,1045,,en,CREMA-D::actor::1045
audio/human/LJSpeech/LJ036-0139.wav,0,LJSpeech,LJ,,en,LJSpeech::lj036-0139
audio/human/LJSpeech/LJ018-0200.wav,0,LJSpeech,LJ,,en,LJSpeech::lj018-0200
audio/human/CREMA-D/1037_ITS_HAP_XX.wav,0,CREMA-D,1037,,en,CREMA-D::actor::1037
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/014 - Anime Videos Generated by SORA 2._067.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::014 - Anime Videos Generated by SORA 2.
audio/human/LJSpeech/LJ014-0125.wav,0,LJSpeech,LJ,,en,LJSpeech::lj014-0125
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/014 - Anime Videos Generated by SORA 2._094.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::014 - Anime Videos Generated by SORA 2.
audio/human/garystafford/yt_0009_part_198.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0009
audio/human/CREMA-D/1031_TIE_HAP_XX.wav,0,CREMA-D,1031,,en,CREMA-D::actor::1031
audio/human/garystafford/yt_0009_part_032.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0009
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/105 - sora 2 stuff_176.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::105 - sora 2 stuff
audio/human/CREMA-D/1047_TAI_HAP_XX.wav,0,CREMA-D,1047,,en,CREMA-D::actor::1047
audio/human/CREMA-D/1073_IEO_ANG_HI.wav,0,CREMA-D,1073,,en,CREMA-D::actor::1073
audio/human/LJSpeech/LJ016-0116.wav,0,LJSpeech,LJ,,en,LJSpeech::lj016-0116
audio/human/CREMA-D/1006_WSI_HAP_XX.wav,0,CREMA-D,1006,,en,CREMA-D::actor::1006
audio/human/LJSpeech/LJ014-0314.wav,0,LJSpeech,LJ,,en,LJSpeech::lj014-0314
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/188 - Lost episode by sora 2_052.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::188 - Lost episode by sora 2
audio/human/LJSpeech/LJ047-0124.wav,0,LJSpeech,LJ,,en,LJSpeech::lj047-0124
audio/human/CREMA-D/1011_TSI_SAD_XX.wav,0,CREMA-D,1011,,en,CREMA-D::actor::1011
audio/human/CREMA-D/1039_DFA_DIS_XX.wav,0,CREMA-D,1039,,en,CREMA-D::actor::1039
audio/human/LJSpeech/LJ044-0036.wav,0,LJSpeech,LJ,,en,LJSpeech::lj044-0036
audio/human/vishesh/ep1_102.wav,0,unknown,,,unknown,unknown::human::ep1_102
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_013.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::173 - BEST SORA 2 AI MEMES EPISODE 10
audio/human/LJSpeech/LJ031-0067.wav,0,LJSpeech,LJ,,en,LJSpeech::lj031-0067
audio/ai/garystafford/lv_0001_part_010.flac,1,GaryStafford,,Luvvoice,en,GaryStafford::ai::Luvvoice::0001
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/167 - AI Has LOST ALL CONTROL 💀 (Sora 2 Moments You Won’t Believe)_024.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::167 - AI Has LOST ALL CONTROL 💀 (Sora 2 Moments You Won’t Believe)
audio/human/LJSpeech/LJ029-0177.wav,0,LJSpeech,LJ,,en,LJSpeech::lj029-0177
audio/human/CREMA-D/1045_IEO_DIS_HI.wav,0,CREMA-D,1045,,en,CREMA-D::actor::1045
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_281.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::230 - The Ultimate Spongebob Sora 2 Compilation
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/196 - Lost Episodes Analog Horror Sora 2 (Full Movie)_040.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::196 - Lost Episodes Analog Horror Sora 2 (Full Movie)
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/009 - SpongeBob Classic Scene： Everyone Has Ulterior Motives._078.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::009 - SpongeBob Classic Scene： Everyone Has Ulterior Motives.
audio/human/immy/Pathetic Loser Gooner Girlfriend Begs You To Stay With Her ASMR_037.wav,0,unknown,,,unknown,unknown::human::pathetic loser gooner girlfriend begs you to stay with her asmr_037
audio/human/garystafford/yt_0010_part_056.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0010
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/128 - Goku vs AI monster (Sora AI 2)_006.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::128 - Goku vs AI monster (Sora AI 2)
audio/human/rekrap/Day in the Life of A Minecraft YouTuber_290.wav,0,unknown,,,unknown,unknown::human::day in the life of a minecraft youtuber_290
audio/human/LJSpeech/LJ019-0046.wav,0,LJSpeech,LJ,,en,LJSpeech::lj019-0046
audio/ai/garystafford/po_0026_part_006.flac,1,GaryStafford,,Amazon Polly,en,GaryStafford::ai::Amazon Polly::0026
audio/human/CREMA-D/1037_TSI_NEU_XX.wav,0,CREMA-D,1037,,en,CREMA-D::actor::1037
